Airline,Arriving From,Flight,Scheduled,Estimated,Remarks,Terminal,Gate,Details
Copa Airlines,Panama City,382,上午12:08,下午11:32,,Int'l,A4,
Alaska Airlines,Honolulu/Oahu,710,上午12:10,上午12:08,,2,55,
United,Boston,1163,上午12:10,上午02:30,,3,83,
United,Chicago/O'Hare,493,上午12:11,下午11:40,,3,73,
United,Los Angeles,398,上午12:15,下午11:48,,3,65,
Avianca,San Salvador,560,上午12:15,上午12:15,,Int'l,A zone,
Southwest,PAR,8526,上午12:30,上午12:30,,Int'l,,
American Airlines,Miami,2421,上午12:32,上午12:03,,2,HGR,
United,Honolulu/Oahu,2826,上午12:44,上午01:10,,3,80,
Delta Air Lines,New York/JFK,2670,上午12:48,上午12:11,,1,40,
American Airlines,New York/JFK,177,上午12:51,上午12:30,,2,57,
United,Newark,210,上午01:03,上午01:51,,3,67,
JetBlue,Boston,333,上午01:12,上午01:06,,1,B6,
JetBlue,New York/JFK,1715,上午01:21,上午12:26,,1,B7,
United,Honolulu/Oahu,396,上午04:53,上午04:57,,3,86,
United,Kahului,1557,上午05:18,上午05:03,,3,88,
United,Kona/Hawaii,1092,上午05:35,上午05:36,,3,89,
United,Tel Aviv,955,上午06:00,上午05:17,,Int'l,G94,
United,Taipei,872,上午06:20,上午06:09,,Int'l,G95,
United,Monterey,5316,上午06:22,上午06:22,On Time,3,78,
EVA AIR,Taipei,8,上午06:30,上午06:41,,Int'l,G101,
Southwest,Los Angeles,1085,上午06:35,上午06:35,On Time,1,B9,
United,Reno,1445,上午06:39,上午06:39,On Time,3,68,
United,Santa Barbara,5982,上午06:47,上午06:47,On Time,3,76,
United,Seoul,806,上午06:50,上午06:07,,Int'l,G98,
United,Santa Rosa,5738,上午06:50,上午06:50,On Time,3,84C,
United,Kahului,1580,上午06:52,上午07:03,,3,67,
United,Boise,5745,上午06:54,上午06:54,On Time,3,79,
Air India,Bengaluru,173,上午07:00,上午06:38,,Int'l,G97,
United,Fresno,5287,上午07:02,上午07:02,On Time,3,77A,
United,Sydney,870,上午07:05,上午07:32,,Int'l,G96,
United,Sacramento,5562,上午07:06,上午07:06,On Time,3,71A,
United,San Luis Obispo,5667,上午07:06,上午07:06,On Time,3,77B,
United,Redding,5549,上午07:08,上午07:08,On Time,3,84D,
United,Honolulu/Oahu,1575,上午07:10,上午07:17,,3,66,
United,Palm Springs,5617,上午07:10,上午07:10,On Time,3,84B,
United,Salt Lake City,5976,上午07:15,上午07:15,On Time,3,71B,
United,Bakersfield,5219,上午07:16,上午07:16,On Time,3,70,
