,Airline,Estimated,Flight,Gate,Scheduled,Terminal
0,Delta Air Lines,00:15,463,43,00:14,1
1,Cathay Pacific,00:25,873,A7,00:24,Int'l
2,American Airlines,00:35,1004,58B,00:34,2
3,Cathay Pacific,00:50,851,A4,00:49,Int'l
4,United,00:51,995,63,00:50,3
5,Frontier Airlines,00:59,662,A11,00:58,Int'l
6,United,01,2377,70,00:59,3
7,EVA AIR,01:02,17,G101,01:01,Int'l
8,China Airlines,01:05,3,A5,01:04,Int'l
9,Singapore Airlines,01:15,1,G94,01:14,Int'l
10,EVA AIR,01:20,27,G102,01:19,Int'l
11,Air China,01:30,786,G98,01:29,Int'l
12,Avianca,01:17,561,A2,01:16,Int'l
13,Copa Airlines,01:35,383,A4,01:34,Int'l
14,United,05,756,73,04:59,3
15,American Airlines,05:02,2528,56A,05:01,2
16,Southwest,05:04,1895,B18,05:03,1
17,American Airlines,05:29,776,56B,05:28,2
18,Alaska Airlines,05:30,939,55,05:29,2
19,American Airlines,05:38,2042,58B,05:37,2
20,Delta Air Lines,06,1210,43,05:59,1
21,American Airlines,06:30,1198,59A,06:29,2
22,Southwest,06:02,2270,B12,06:01,1
23,Alaska Airlines,06:04,994,51B,06:03,2
24,Delta Air Lines,06:06,2007,41,06:05,1
25,Alaska Airlines,06:08,1321,51A,06:07,2
26,Delta Air Lines,06:10,2401,46,06:09,1
27,Southwest,06:12,1911,B9,06:11,1
28,Alaska Airlines,06:05,1970,54B,06:04,2
29,United,06:14,284,68,06:13,3
30,Alaska Airlines,06:16,1741,53,06:15,2
31,Air Canada,06:18,561,G94,06:17,Int'l
32,Delta Air Lines,06:15,1847,42,06:14,1
33,United,06:20,452,66,06:19,3
34,Delta Air Lines,06:22,868,40,06:21,1
35,Delta Air Lines,06:24,2703,48,06:23,1
36,United,06:25,687,83,06:24,3
37,JetBlue,06:27,16,B6,06:26,1
38,Southwest,06:32,5513,B17,06:31,1
39,United,06:34,616,88,06:33,3
40,United,06:35,780,89,06:34,3
41,Southwest,06:40,4457,B13,06:39,1
42,Air Canada,06:42,780,G91,06:41,Int'l
43,Southwest,06:45,1879,B18,06:44,1
44,Avianca,06:47,565,A6,06:46,Int'l
45,American Airlines,06:54,234,57,06:53,2
46,Delta Air Lines,06:55,854,43,06:54,1
47,Alaska Airlines,07,821,55,06:59,2
48,Alaska Airlines,07:02,1922,50A,07:01,2
49,Alaska Airlines,07:04,3370,59B,07:03,2
50,Alaska Airlines,07:06,1302,50B,07:05,2
51,Alaska Airlines,07:08,303,54A,07:07,2
52,American Airlines,07:10,343,45A,07:09,2
53,American Airlines,07:14,700,56A,07:13,2
54,Southwest,07:15,1086,B9,07:14,1
55,United,07:17,577,85,07:16,3
56,Alaska Airlines,07:20,1352,51B,07:19,2
57,United,07:22,540,61,07:21,3
58,United,07:25,5579,78,07:24,3
59,Air Canada,07:27,758,G93,07:26,Int'l
60,United,07:30,291,86,07:29,3
61,Alaska Airlines,07:35,1902,54B,07:34,2
62,United,07:36,5299,79,07:35,3
63,United,07:40,258,64,07:39,3
64,United,07:41,5900,77A,07:40,3
65,Delta Air Lines,07:47,397,47,07:46,1
66,American Airlines,07:49,2614,56B,07:48,2
67,United,07:51,1106,74,07:50,3
68,Alaska Airlines,07:50,340,51A,07:49,2
69,American Airlines,07:55,6034,45B,07:54,1
70,United,07:57,5825,77B,07:56,3
71,JetBlue,08,434,B7,07:59,1
72,United,08:02,269,68,08:01,3
73,United,08:04,555,62,08:03,3
74,American Airlines,08:06,390,45A,08:05,2
75,Delta Air Lines,08:08,3008,41,08:07,1
76,United,08:10,5404,76,08:09,3
77,Alaska Airlines,08:12,1745,53,08:11,2
78,Alaska Airlines,08:14,1001,58B,08:13,2
79,United,08:05,1177,75,08:04,3
80,United,08:16,1445,73A,08:15,3
81,Delta Air Lines,08:15,1530,46,08:14,1
82,Southwest,08:17,5503,B12,08:16,1
83,United,08:19,295,82,08:18,3
84,United,08:21,365,72,08:20,3
85,Delta Air Lines,08:23,2893,40,08:22,1
86,American Airlines,08:25,164,57,08:24,2
87,Alaska Airlines,08:20,3404,50A,08:19,2
88,Hawaiian Airlines,08:22,11,A10,08:21,Int'l
89,Air Canada,08:24,8839,G92,08:23,Int'l
90,United,08:27,5686,71B,08:26,3
91,Alaska Airlines,08:29,383,54A,08:28,2
92,United,08:30,639,87,08:29,3
93,United,08:32,768,81,08:31,3
94,United,08:34,1178,85,08:33,3
95,United,08:36,1672,65,08:35,3
96,United,08:38,1761,63,08:37,3
97,United,08:40,2096,83,08:39,3
98,United,08:42,5445,84D,08:41,3
99,Alaska Airlines,08:44,1966,52,08:43,2
100,United,08:46,5696,84B,08:45,3
101,United,08:48,5879,84C,08:47,3
102,United,08:50,5914,77B,08:49,3
103,United,08:52,948,90,08:51,3
104,United,08:33,234,69,08:32,3
105,United,08:35,5575,76,08:34,3
106,Delta Air Lines,08:37,1859,43,08:36,1
107,United,08:39,5802,78,08:38,3
108,United,08:54,1721,66,08:53,3
109,United,08:56,5249,87A,08:55,3
110,Alaska Airlines,08:58,3417,59C,08:57,2
111,United,09,1835,73,08:59,3
112,United,08:45,1175,80,08:44,3
113,Alaska Airlines,09:02,1218,51B,09:01,2
114,Alaska Airlines,09:04,1022,55,09:03,2
115,United,09:06,5682,70,09:05,3
116,Southwest,09:08,1775,B9,09:07,1
117,United,09:10,784,74,09:09,3
118,United,09:12,2229,89,09:11,3
119,United,09:14,5933,73A,09:13,3
120,American Airlines,09:16,2691,56A,09:15,2
121,WestJet,09:18,1521,A2,09:17,Int'l
122,United,09:20,5766,71A,09:19,3
123,JetBlue,09:22,1235,B6,09:21,1
124,American Airlines,09:24,1322,45A,09:23,2
125,Alaska Airlines,09:26,1946,59A,09:25,2
126,Delta Air Lines,09:28,546,42,09:27,1
127,Delta Air Lines,09:30,2313,41,09:29,1
128,Alaska Airlines,09:32,3458,53,09:31,2
129,American Airlines,09:34,1868,45B,09:33,1
130,United,09:36,1144,68,09:35,3
131,United,09:11,1725,88,09:10,3
132,United,09:15,5632,84D,09:14,3
133,United,09:38,5449,84C,09:37,3
134,United,09:25,5539,77B,09:24,3
135,Alaska Airlines,09:40,322,54B,09:39,2
136,United,09:27,5987,77A,09:26,3
137,JetBlue,09:42,578,B8,09:41,1
138,United,09:44,482,86,09:43,3
139,Air Canada,09:46,760,G93,09:45,Int'l
140,Alaska Airlines,09:48,1278,50B,09:47,2
141,United,09:50,516,63,09:49,3
142,United,09:52,653,62,09:51,3
143,Southwest,09:35,2254,B17,09:34,1
144,Alaska Airlines,09:54,1090,58B,09:53,2
145,United,09:31,1111,67,09:30,3
146,Alaska Airlines,09:56,266,51A,09:55,2
147,Alaska Airlines,09:58,2953,52,09:57,2
148,American Airlines,09:51,152,57,09:50,2
149,Delta Air Lines,09:55,3004,40,09:54,1
150,Southwest,09:57,1098,B13,09:56,1
151,Hawaiian Airlines,10,41,A12,09:59,Int'l
152,American Airlines,10:01,345,56B,10,2
153,Alaska Airlines,11:27,2119,50B,11:26,2
154,Delta Air Lines,10:07,2490,42,10:06,1
155,Air Canada,10:15,8744,G102,10:14,Int'l
156,United,10:02,2063,61,10:01,3
157,United,10:04,5371,78,10:03,3
158,Delta Air Lines,10:20,1390,48,10:19,1
159,Alaska Airlines,10:25,1208,54A,10:24,2
160,Alaska Airlines,10:27,381,51B,10:26,2
161,United,10:17,753,85,10:16,3
162,Southwest,10:30,1935,B17,10:29,1
163,Alaska Airlines,10:35,3388,59C,10:34,2
164,Southwest,10:37,1913,B12,10:36,1
165,United,10:19,1991,65,10:18,3
166,United,10:29,608,69,10:28,3
167,United,10:40,575,89,10:39,3
168,United,10:42,685,68,10:41,3
169,United,10:44,893,G92,10:43,Int'l
170,United,10:46,1216,73,10:45,3
171,United,10:48,1513,63,10:47,3
172,United,10:50,2262,81,10:49,3
173,United,10:52,5256,79,10:51,3
174,United,10:54,5334,76,10:53,3
175,United,10:56,5448,77B,10:55,3
176,United,10:58,5759,84D,10:57,3
177,United,11,1477,82,10:59,3
178,United,11:02,5541,71A,11:01,3
179,United,10:45,875,G91,10:44,Int'l
180,Interjet,10:47,821,,10:46,Int'l
181,Delta Air Lines,10:49,664,46,10:48,1
182,Delta Air Lines,10:51,1938,43,10:50,1
183,United,10:53,888,G98,10:52,Int'l
184,United,10:55,1865,80,10:54,3
185,United,10:57,2166,67,10:56,3
186,United,11:04,223,87,11:03,3
