Airline,Departing to,Flight,Scheduled,Estimated,Remarks,Terminal,Gate
Delta Air Lines,Minneapolis,463,上午12:15,上午12:15,,1,43
Cathay Pacific,Hong Kong,873,上午12:25,上午12:25,,Int'l,A7
American Airlines,Dallas-Fort Worth,1004,上午12:35,上午12:35,,2,58B
Cathay Pacific,Hong Kong,851,上午12:50,上午12:50,,Int'l,A4
United,Chicago/O'Hare,995,上午12:51,上午12:51,,3,63
Frontier Airlines,Denver,662,上午12:59,上午12:59,,Int'l,A11
United,Houston/Intercontinental,2377,上午01:00,上午01:00,,3,70
EVA AIR,Taipei,17,上午01:00,上午01:00,On Time,Int'l,G101
China Airlines,Taipei,3,上午01:05,上午01:05,,Int'l,A5
Singapore Airlines,Hong Kong,1,上午01:15,上午01:15,On Time,Int'l,G94
EVA AIR,Taipei,27,上午01:20,上午01:20,On Time,Int'l,G102
Air China,Beijing,786,上午01:30,上午01:30,On Time,Int'l,G98
Avianca,San Salvador,561,上午01:30,上午01:15,,Int'l,A2
Copa Airlines,Panama City,383,上午01:35,上午01:35,On Time,Int'l,A4
United,Denver,756,上午05:00,上午05:00,On Time,3,73
American Airlines,Los Angeles,2528,上午05:00,上午05:00,On Time,2,56A
Southwest,Los Angeles,1895,上午05:00,上午05:00,On Time,1,B18
American Airlines,Charlotte,776,上午05:29,上午05:29,On Time,2,56B
Alaska Airlines,Seattle,939,上午05:30,上午05:30,On Time,2,55
American Airlines,Phoenix,2042,上午05:38,上午05:38,On Time,2,58B
Southwest,Denver,1520,上午05:45,上午05:45,On Time,1,B14
Delta Air Lines,Atlanta,1210,上午06:00,上午06:00,On Time,1,43
American Airlines,Dallas-Fort Worth,1198,上午06:00,上午06:30,,2,59A
Southwest,Denver,2270,上午06:00,上午06:00,On Time,1,B12
Alaska Airlines,Los Angeles,994,上午06:00,上午06:00,On Time,2,51B
Delta Air Lines,Los Angeles,2007,上午06:00,上午06:00,On Time,1,41
Alaska Airlines,Portland,1321,上午06:00,上午06:00,On Time,2,51A
Delta Air Lines,Salt Lake City,2401,上午06:00,上午06:00,On Time,1,46
Southwest,San Diego,1911,上午06:00,上午06:00,On Time,1,B9
Alaska Airlines,San Diego,1970,上午06:05,上午06:05,On Time,2,54B
United,San Diego,284,上午06:10,上午06:10,On Time,3,68
Alaska Airlines,Seattle,1741,上午06:10,上午06:10,On Time,2,53
Air Canada,Vancouver,561,上午06:10,上午06:10,On Time,Int'l,G94
Delta Air Lines,Minneapolis,1847,上午06:15,上午06:15,On Time,1,42
United,Cincinnati,452,上午06:20,上午06:20,On Time,3,66
Delta Air Lines,New York/JFK,868,上午06:20,上午06:20,On Time,1,40
Delta Air Lines,Seattle,2703,上午06:20,上午06:20,On Time,1,48
United,Houston/Intercontinental,687,上午06:25,上午06:25,On Time,3,83
JetBlue,New York/JFK,16,上午06:25,上午06:25,On Time,1,B6
Southwest,Chicago/Midway,5513,上午06:30,上午06:30,On Time,1,B17
United,Chicago/O'Hare,616,上午06:30,上午06:30,On Time,3,88
United,Seattle,780,上午06:35,上午06:35,On Time,3,89
Southwest,Dallas/Love Field,4457,上午06:40,上午06:40,On Time,1,B13
Air Canada,Montreal,780,上午06:40,上午06:40,On Time,Int'l,G91
Southwest,Burbank,1879,上午06:45,上午06:45,On Time,1,B18
Avianca,San Salvador,565,上午06:45,上午06:45,On Time,Int'l,A6
American Airlines,New York/JFK,234,上午06:54,上午06:54,On Time,2,57
Delta Air Lines,Detroit,854,上午06:55,上午06:55,On Time,1,43
Alaska Airlines,Kahului,821,上午07:00,上午07:00,On Time,2,55
Alaska Airlines,Los Angeles,1922,上午07:00,上午07:00,On Time,2,50A
Alaska Airlines,Orange County,3370,上午07:00,上午07:00,On Time,2,59B
Alaska Airlines,Orlando,1302,上午07:00,上午07:00,On Time,2,50B
Alaska Airlines,Seattle,303,上午07:00,上午07:00,On Time,2,54A
American Airlines,Miami,343,上午07:10,上午07:10,On Time,2,45A
American Airlines,Philadelphia,700,上午07:14,上午07:14,On Time,2,56A
Southwest,Los Angeles,1086,上午07:15,上午07:15,On Time,1,B9
United,Newark,577,上午07:15,上午07:15,On Time,3,85
Alaska Airlines,Boston,1352,上午07:20,上午07:20,On Time,2,51B
United,Houston/Intercontinental,540,上午07:20,上午07:20,On Time,3,61
United,Santa Barbara,5579,上午07:25,上午07:25,On Time,3,78
Air Canada,Toronto,758,上午07:25,上午07:25,On Time,Int'l,G93
United,Sacramento,291,上午07:30,上午07:30,On Time,3,86
Alaska Airlines,Las Vegas,1902,上午07:35,上午07:35,On Time,2,54B
United,Fresno,5299,上午07:36,上午07:36,On Time,3,79
United,Austin,258,上午07:40,上午07:40,On Time,3,64
United,Reno,5900,上午07:41,上午07:41,On Time,3,77A
Delta Air Lines,Los Angeles,397,上午07:47,上午07:47,On Time,1,47
American Airlines,Chicago/O'Hare,2614,上午07:49,上午07:49,On Time,2,56B
United,Houston/Intercontinental,1106,上午07:49,上午07:49,On Time,3,74
Alaska Airlines,Newark,340,上午07:50,上午07:50,On Time,2,51A
Southwest,Phoenix,1909,上午07:50,上午07:50,On Time,1,B14
American Airlines,Los Angeles,6034,上午07:55,上午07:55,On Time,1,45B
United,MSO,5825,上午07:55,上午07:55,On Time,3,77B
JetBlue,Boston,434,上午08:00,上午08:00,On Time,1,B7
United,Chicago/O'Hare,269,上午08:00,上午08:00,On Time,3,68
United,Chicago/O'Hare,555,上午08:00,上午08:00,On Time,3,62
American Airlines,Dallas-Fort Worth,390,上午08:00,上午08:00,On Time,2,45A
Delta Air Lines,Minneapolis,3008,上午08:00,上午08:00,On Time,1,41
United,Omaha,5404,上午08:00,上午08:00,On Time,3,76
Alaska Airlines,Seattle,1745,上午08:00,上午08:00,On Time,2,53
